argentina,46735004,2780085,america
bahamas,403517,13880,america
barbados,282467,430,america
belice,417072,22966,america
bolivia,11365333,1098581,america
brasil,213030000,8515767,america
canada,41548787,9984670,america
chile,19760000,756626,america
colombia,53400000,1141748,america
costarica,5150000,51100,america
cuba,10980000,109884,america
dominica,66205,750,america
ecuador,18140000,283561,america
elsalvador,6338000,21041,america
estadosunidos,340100000,9826675,america
granada,233532,88,america
guatemala,18687881,108888,america
guyana,831087,214969,america
haiti,11900000,27750,america
honduras,11052832,112777,america
jamaica,2839786,10991,america
mexico,130900000,1964375,america
nigeria,232700000,923768,america
panama,4516000,75517,america
paraguay,6929000,406752,america
italia,58870764,302073,europa
españa,49315949,506030,europa
rusia,143500000,17098246,europa
japon,123800000,377974,asia
india,1467000000,3287263,asia
finlandia,5638675,338462,europa
marruecos,37370000,446550,africa
